Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission
01/02/20,6,2,21,1,9,3,30,2,6,0,2,3,25,66,0,0,1,0,2,3,38,14,0,11,0,13,0,13,1,1,1,0,14,2,4,11,1,1,,,0,0,0,0,11,7
01/02/20,5,4,19,2,8,6,27,1,4,0,2,3,25,65,0,0,1,0,2,2,38,13,0,12,0,13,0,13,0,1,1,0,14,2,4,11,1,1,,,0,0,0,0,11,7
01/02/20,4,1,15,2,6,3,21,0,3,0,2,3,25,66,0,0,1,0,1,2,37,14,0,11,0,12,0,15,0,1,1,0,16,4,4,12,0,0,,,0,0,0,0,11,7
01/02/20,2,4,10,2,4,6,14,2,3,0,2,2,25,70,0,0,0,0,1,2,41,14,0,14,0,13,1,12,0,1,1,0,16,9,4,5,3,3,,,0,0,0,0,11,7
01/02/20,24,0,169,3,163,3,332,0,47,0,35,27,24,86,0,0,31,25,7,4,54,20,3,18,2,16,0,17,0,7,3,0,25,12,4,12,6,5,,,1,0,0,0,3,2
01/02/20,23,7,169,4,160,11,329,1,47,0,32,24,23,88,0,0,31,22,12,3,55,20,6,17,2,18,0,15,0,5,1,0,27,11,5,13,6,2,,,1,0,0,0,3,2
01/02/21,24,4,91,1,72,5,163,2,45,0,26,19,16,50,1,1,3,6,0,4,42,14,1,13,1,15,0,6,1,1,3,0,3,0,3,1,6,4,,,2,1,1,0,0,0
01/02/21,20,4,78,5,67,9,145,3,38,0,16,12,13,56,0,0,3,6,0,5,40,13,1,12,0,15,0,7,3,1,1,0,9,0,6,12,12,6,,,5,0,0,0,2,0
01/02/21,19,2,74,12,62,14,136,2,35,0,16,12,13,55,3,3,2,6,0,4,39,11,1,13,0,15,0,6,3,1,2,0,7,0,4,10,16,9,,,4,0,0,1,2,0
01/02/21,18,2,72,5,50,7,122,3,33,0,14,9,14,55,3,3,1,6,0,4,39,11,1,13,0,15,0,7,1,2,3,0,8,0,4,13,9,4,,,1,0,0,1,1,0
